"","site_id","site_name","data_policy","data_start","data_end","latitude","longitude","elevation","timezone","avg_air_temp_degC","avg_precip_mm","IGBP_veg","Koppen_clim_class","soil_texture","Description","porosity","psi.ae","lamda","Sf"
"138","US-Wi0","Young red pine (YRP)","CCBY4.0",2002,2002,46.6188,-91.0814,349,"America/Chicago",NA,NA,"ENF","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"139","US-Wi1","Intermediate hardwood (IHW)","CCBY4.0",2003,2003,46.7305,-91.2329,352,"America/Chicago",NA,NA,"DBF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"140","US-Wi3","Mature hardwood (MHW)","CCBY4.0",2002,2004,46.6347,-91.0987,411,"America/Chicago",NA,NA,"DBF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"141","US-Wi4","Mature red pine (MRP)","CCBY4.0",2002,2005,46.7393,-91.1663,352,"America/Chicago",NA,NA,"ENF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"142","US-Wi5","Mixed young jack pine (MYJP)","CCBY4.0",2004,2004,46.6531,-91.0858,353,"America/Chicago",NA,NA,"ENF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"143","US-Wi6","Pine barrens #1 (PB1)","CCBY4.0",2002,2003,46.6249,-91.2982,371,"America/Chicago",NA,NA,"OSH","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"144","US-Wi7","Red pine clearcut (RPCC)","CCBY4.0",2005,2005,46.6491,-91.0693,335,"America/Chicago",NA,NA,"OSH","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"145","US-Wi8","Young hardwood clearcut (YHW)","CCBY4.0",2002,2002,46.7223,-91.2524,348,"America/Chicago",NA,NA,"DBF","Dfb",8,"Silty clay loam",0.477,35.6,0.177,27.3
"146","US-Wi9","Young Jack pine (YJP)","CCBY4.0",2004,2005,46.7385,-91.0746,350,"America/Chicago",NA,NA,"ENF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"147","US-Wjs","Willard Juniper Savannah","CCBY4.0",2007,2024,34.4255,-105.8615,1931,"America/Denver",15.2,361,"SAV","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"148","US-Wkg","Walnut Gulch Kendall Grasslands","CCBY4.0",2004,2024,31.7365,-109.9419,1531,"America/Phoenix",15.64,407,"GRA","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"149","US-WPT","Winous Point North Marsh","CCBY4.0",2011,2013,41.4646,-82.9962,175,"America/New_York",10.1,849,"WET","Dfa",3,"Sandy loam",0.435,21.8,0.378,11.01
"150","US-xAB","NEON Abby Road (ABBY)","CCBY4.0",2017,2023,45.7624,-122.3303,363,"America/Los_Angeles",10,2450.59,"ENF","Csb",6,"Loam",0.451,47.8,0.252,8.89
"151","US-xAE","NEON Klemme Range Research Station (OAES)","CCBY4.0",2017,2023,35.4106,-99.0588,516,"America/Chicago",15.5,778.85,"GRA","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"152","US-xBL","NEON Blandy Experimental Farm (BLAN)","CCBY4.0",2017,2023,39.0603,-78.0716,183,"America/New_York",12.1,982.55,"DBF","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"153","US-xBR","NEON Bartlett Experimental Forest (BART)","CCBY4.0",2017,2023,44.0639,-71.2873,232,"America/New_York",5.6,1246,"DBF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"154","US-xCL","NEON LBJ National Grassland (CLBJ)","CCBY4.0",2017,2023,33.4012,-97.57,259,"America/Chicago",17.5,925.61,"GRA","Cfa",3,"Sandy loam",0.435,21.8,0.378,11.01
"155","US-xCP","NEON Central Plains Experimental Range (CPER)","CCBY4.0",2016,2023,40.8155,-104.7456,1654,"America/Denver",8.6,320,"GRA","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"156","US-xDC","NEON Dakota Coteau Field School (DCFS)","CCBY4.0",2017,2023,47.1617,-99.1066,559,"America/Chicago",4.9,489.74,"GRA","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"157","US-xDL","NEON Dead Lake (DELA)","CCBY4.0",2017,2023,32.5417,-87.8039,22,"America/Chicago",17.6,1372,"MF","Cfa",3,"Sandy loam",0.435,21.8,0.378,11.01
"158","US-xDS","NEON Disney Wilderness Preserve (DSNY)","CCBY4.0",2017,2023,28.125,-81.4362,15,"America/New_York",22.5,1216.09,"CVM","Cfa",1,"Sand",0.395,12.1,0.694,4.95
"159","US-xGR","NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)","CCBY4.0",2017,2023,35.689,-83.5019,579,"America/New_York",13.1,1375,"DBF","Cfa",6,"Loam",0.451,47.8,0.252,8.89
"160","US-xHA","NEON Harvard Forest (HARV)","CCBY4.0",2017,2023,42.5369,-72.1727,351,"America/New_York",6.62,1071,"DBF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"161","US-xJE","NEON Jones Ecological Research Center (JERC)","CCBY4.0",2017,2023,31.1948,-84.4686,44,"America/New_York",19.2,1307.97,"ENF","Cfa",3,"Sandy loam",0.435,21.8,0.378,11.01
"162","US-xJR","NEON Jornada LTER (JORN)","CCBY4.0",2017,2023,32.5907,-106.8425,1329,"America/Denver",15.7,271.33,"OSH","Bsk",1,"Sand",0.395,12.1,0.694,4.95
"163","US-xKA","NEON Konza Prairie Biological Station - Relocatable (KONA)","CCBY4.0",2017,2023,39.1104,-96.6129,1329,"America/Chicago",12.7,850.63,"GRA","Cfa",8,"Silty clay loam",0.477,35.6,0.177,27.3
"164","US-xKZ","NEON Konza Prairie Biological Station (KONZ)","CCBY4.0",2017,2023,39.1008,-96.5631,381,"America/Chicago",12.4,870.38,"GRA","Cfa",8,"Silty clay loam",0.477,35.6,0.177,27.3
"165","US-xMB","NEON Moab (MOAB)","CCBY4.0",2017,2023,38.2483,-109.3883,1767,"America/Denver",10.1,319.46,"OSH","Bsk",3,"Sandy loam",0.435,21.8,0.378,11.01
"166","US-xML","NEON Mountain Lake Biological Station (MLBS)","CCBY4.0",2017,2023,37.3783,-80.5248,1126,"America/New_York",8.8,1227.82,"DBF","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"167","US-xNG","NEON Northern Great Plains Research Laboratory (NOGP)","CCBY4.0",2017,2023,46.7697,-100.9154,578,"America/North_Dakota/New_Salem",5.9,456.51,"GRA","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"168","US-xNQ","NEON Onaqui-Ault (ONAQ)","CCBY4.0",2017,2023,40.1776,-112.4524,1685,"America/Denver",9,288.31,"OSH","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"169","US-xRM","NEON Rocky Mountain National Park, CASTNET (RMNP)","CCBY4.0",2017,2023,40.2759,-105.5459,2743,"America/Denver",2.9,730.59,"ENF","Dfc",3,"Sandy loam",0.435,21.8,0.378,11.01
"170","US-xSB","NEON Ordway-Swisher Biological Station (OSBS)","CCBY4.0",2017,2023,29.6893,-81.9934,45,"America/New_York",20.9,1302.09,"ENF","Cfa",1,"Sand",0.395,12.1,0.694,4.95
"171","US-xSC","NEON Smithsonian Conservation Biology Institute (SCBI)","CCBY4.0",2016,2023,38.8929,-78.1395,361,"America/New_York",11.6,1125.5,"DBF","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"172","US-xSE","NEON Smithsonian Environmental Research Center (SERC)","CCBY4.0",2017,2023,38.8901,-76.56,15,"America/New_York",13.6,1074.65,"DBF","Cfa",3,"Sandy loam",0.435,21.8,0.378,11.01
"173","US-xSJ","NEON San Joaquin Experimental Range (SJER)","CCBY4.0",2018,2023,37.1088,-119.7323,368,"America/Los_Angeles",16.4,539.62,"SAV","Csa",3,"Sandy loam",0.435,21.8,0.378,11.01
"174","US-xSL","NEON North Sterling, CO (STER)","CCBY4.0",2017,2023,40.4619,-103.0293,1364,"America/Denver",9.7,432.67,"CRO","Bsk",4,"Silt loam",0.485,78.6,0.234,16.68
"175","US-xSR","NEON Santa Rita Experimental Range (SRER)","CCBY4.0",2017,2023,31.9107,-110.8355,983,"America/Phoenix",19.3,346,"OSH","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"176","US-xST","NEON Steigerwaldt Land Services (STEI)","CCBY4.0",2017,2023,45.5089,-89.5864,481,"America/Chicago",4.8,797.56,"DBF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"177","US-xTA","NEON Talladega National Forest (TALL)","CCBY4.0",2017,2023,32.9505,-87.3933,135,"America/Chicago",17.2,1382.68,"ENF","Cfa",3,"Sandy loam",0.435,21.8,0.378,11.01
"178","US-xTR","NEON Treehaven (TREE)","CCBY4.0",2017,2023,45.4937,-89.5857,472,"America/Chicago",4.8,797.56,"DBF","Dfb",1,"Sand",0.395,12.1,0.694,4.95
"179","US-xUK","NEON The University of Kansas Field Station (UKFS)","CCBY4.0",2017,2023,39.0404,-95.1921,335,"America/Chicago",12.7,990.63,"DBF","Cfa",8,"Silty clay loam",0.477,35.6,0.177,27.3
"180","US-xUN","NEON University of Notre Dame Environmental Research Center (UNDE)","CCBY4.0",2017,2023,46.2339,-89.5373,518,"America/Menominee",4.3,802.3,"MF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"181","US-xWD","NEON Woodworth (WOOD)","CCBY4.0",2017,2023,47.1282,-99.2414,579,"America/Chicago",4.9,493.76,"GRA","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"182","US-xYE","NEON Yellowstone Northern Range (Frog Rock) (YELL)","CCBY4.0",2018,2023,44.9535,-110.5391,2116,"America/Denver",3.4,493.44,"ENF","Dfc",6,"Loam",0.451,47.8,0.252,8.89
